1,Class A Scheduled Position Report
2,Class A Assigned Scheduled Position Report
3,Class A Special Position Report
5,Ship Static and Voyage related data
6,Addressed Binary Message
8,Binary Broadcast Message
9,Standard Search and Rescue Aircraft Position Report
18,Standard Class B Equipment Position Report
19,Extended Class B Equipment Position Report
